1 3 3 3 3 94 3 3 3 3 1
1 3 3 3 3 91 3 3 3 3 1
1 3 3 3 3 0 3 3 3 3 1
1 3 3 3 3 17 3 3 3 3 1
1 3 3 3 3 16 3 3 3 3 1
1 3 3 3 3 15 3 3 3 3 1
1 1 3 3 3 0 3 3 3 1 1
1 1 1 1 1 96 1 1 1 1 1
2 1 2 1 44 0 0 1 2 1 2
2 2 2 2 2 0 2 2 2 2 2
2 2 2 2 2 96 2 2 2 2 2

94 0 15 101 102 101 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 0
18 0 113 91 0 1 18 15 18 1 0
15 113 11 1 0 1 18 15 18 1 0
1 91 1 1 0 1 1 1 103 1 0
0 114 0 1 0 91 109 101 105 1 0
15 0 12 1 0 1 1 1 1 1 0
1 91 1 1 0 0 0 0 0 0 0
0 114 0 1 1 93 1 1 1 91 1
18 19 15 1 17 0 40 1 15 117 16
18 16 15 1 0 95 0 1 15 15 15

95 1 0 127 0 1 11 12 15 17 1
0 1 12 1 19 1 11 12 15 16 1
0 1 15 1 15 1 11 12 15 126 1
0 1 15 1 15 1 1 1 1 91 1
0 1 0 1 0 0 0 91 0 0 1
0 1 91 1 1 91 1 1 91 1 1
0 96 0 0 0 0 1 0 126 0 1
0 1 91 1 1 92 1 97 1 97 1
0 1 15 1 19 18 1 0 1 0 1
0 1 15 1 19 18 1 0 1 0 1
94 1 11 1 19 18 1 41 1 42 1

20 102 15 1 81 47 83 1 1 1 1
102 15 0 1 0 0 0 1 0 105 0
15 113 0 1 1 91 1 1 0 1 0
1 91 1 1 0 113 0 1 15 1 102
0 0 0 1 1 1 0 1 15 1 105
101 1 0 105 102 105 0 1 15 1 102
101 1 1 1 1 1 0 0 0 1 0
0 0 0 0 0 1 1 91 1 1 0
1 1 1 1 105 1 105 0 105 1 0
1 0 0 0 0 1 12 105 15 1 0
95 0 1 1 1 1 11 13 19 1 94

0 103 0 1 0 43 0 1 0 103 0
91 1 91 1 0 0 0 1 91 1 91
0 1 0 1 1 97 1 1 0 1 0
0 1 113 1 106 107 106 1 113 1 0
105 1 18 1 12 106 12 1 18 1 105
105 1 18 1 1 93 1 1 18 1 105
102 1 0 1 117 121 117 1 0 1 102
0 1 0 1 11 117 11 1 0 1 0
0 1 0 1 1 92 1 1 0 1 0
0 1 0 1 15 0 15 1 0 1 0
94 1 0 103 0 0 0 103 0 1 95

14 1 18 1 19 109 0 0 109 15 16
0 1 11 1 109 0 0 0 0 109 15
